adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/iUHKLrKYcl8E1OniGUEUe1fSYyf.jpg,"[27, 9648, 53]",856290,en,After She Died,A young woman is horrified to discover that her father's new girlfriend looks identical to her dead mother.,5.18,/jwIDNrVV64l86RMapphoz0cz4qL.jpg,2022-09-23,After She Died,False,0,0
False,/9uY7aJISBEMzoRcEKeFjzRdEFRe.jpg,"[27, 18, 35]",975670,en,Mumun,"Mumun and Juned are lovers who love each other. However, Mumun died horribly in an accident and Juned was terrible. After Mumun's body was buried, it turned out that Husein as the gravedigger forgot to open Mumun's pocong rope during the burial procession, so he got up from the grave to ask for the pocong rope to be opened.",5.922,/u0SPU9ZwhqFvzB88dzdVoK12Ne5.jpg,2022-09-01,Mumun,False,7,1
False,,"[27, 35]",991538,cn,猛鬼3寶,"This anthology film features a triplet of horror stories starring up-and-coming actors and popular local Youtubers.  When a film crew is haunted by paranormal activities, the director decides to cast her to play a ghost; When a taxi driver takes his girlfriend to a party room to get it on, a horny ghost adds spice to the proceedings; When a wandering ghost refuses to leave a soon-to-be-gentrified mall, the tenants concoct a plan to send her off.",5.679,/llyVjNvP1b4jthGne8OdxS41epH.jpg,2022-10-27,Let It Ghost,False,0,0
False,,[27],977398,en,The Investigation: The Mansfield Ghost,"Lilly, a make-up blogger chooses to become an amateur ghost hunter for Halloween.",5.418,/qyMAdcm9EKQmMqz5nbEyQoju81N.jpg,2022-10-31,The Investigation: The Mansfield Ghost,False,0,0
False,/2A2TKBGecBUtSdpcBU7TNiFtCpk.jpg,[27],607365,fr,Kandisha,"One summer evening, three childhood friends invoke the spirit of Kandisha, a vengeful creature from a Moroccan legend. The game quickly turns into a nightmare when their loved ones begin to disappear.",7.041,/vgmy1DUrCiakFswahLjEWFGtBhm.jpg,2022-03-24,Kandisha,False,6.4,11
False,/5RSJCk0PEGJiaURDW1ZirjiaWWY.jpg,"[27, 12, 18]",1028243,fr,The Last Of Us : All Gone,"This short fiction film called ""ALL GONE"" is based on the video games ""THE LAST OF US"" & ""THE LAST OF US PART II"". It is intended for entertainment purposes only and is a completely non profit production. All rights reserved by Naughty Dog & Sony.",6.181,/xP7hyPGaAJria6uswkBwXWZYUfV.jpg,2022-09-24,The Last Of Us : All Gone,False,8,0
False,/vX2NWsdz69pF0aTwDDzJFCjW7h6.jpg,"[878, 27, 35]",843621,en,Something in the Dirt,"When neighbors John and Levi witness supernatural events in their LA apartment building, they realize documenting the paranormal could inject some fame and fortune into their wasted lives.",5.729,/964VZmKXGmjXmsHdG4yDoast8lV.jpg,2022-11-04,Something in the Dirt,False,0,0
False,/sXnvnDIfOia6dnMR3ZuqBSGNdpd.jpg,"[53, 28, 27]",298028,en,The Prey,A platoon of U.S. soldiers in Afghanistan become trapped in a cave and are hunted down by a deadly creature the locals call Karnoctus.,5.025,/b4WRdvY6a7bcAjsS4joNPjq2DPm.jpg,2022-06-07,The Prey: Legend of Karnoctus,False,5.8,5
False,/d6IICHynvPBkYqYiPsl63OOdQBB.jpg,"[35, 27]",533660,ta,காட்டேரி,"To escape the wrath of the gangster whom they work for, a gang of treasure-seeking, bumbling criminals go to a hillside village, which, they don't realise is a ghost town, literally!",5.788,/yLx2JWbIyYSJurB9BHIMIPBoq6i.jpg,2022-08-05,Kaatteri,False,6,2
False,,"[27, 35]",1035641,en,Sleep. Walk. Kill.,"In a quiet suburban town, a group of neighbors must survive the night when their friends and family become sleepwalking monsters.",4.472,/evCTRSrqHz3HzWNwfj0U8GOu07L.jpg,2022-11-04,Sleep. Walk. Kill.,False,0,0
False,/oKs1Y4OryymBMdIPI26Vtw2RlLr.jpg,"[27, 9648]",796256,en,Offseason,"Upon receiving a mysterious letter that her mother's grave has been vandalized, Marie travels to the desolate island town where she's buried. Just as she arrives, the island closes for the season, leaving Marie trapped in a nightmare.",4.451,/zlX4WdEMzVomRukPjVQx6U9jtBS.jpg,2022-03-11,Offseason,False,5.7,38
False,,[27],926831,en,Amityville Thanksgiving,"Jackie and Danny are spending the holiday week in therapy instead of at the dinner table. Their marriage has taken a turn for the worst, and they turn to what they believe to be their only option, Amityville Couples Counselor Frank Domonico, a doctor with a hidden, sinister past. He recommends an isolated cabin retreat to save their family. But once alone together, the doctor’s unorthodox approach starts to push the couple over the edge.",4.614,/rgaxRVSlE52hyTv72C6PX0EPxTy.jpg,2022-11-08,Amityville Thanksgiving,False,0,0
